Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,1,6.3,1,6.3,03-10-2020
03-12-2020,1,6.3,0,0,03-11-2020
03-13-2020,1,6.3,0,0,03-12-2020
03-14-2020,1,6.3,0,0,03-13-2020
03-15-2020,1,6.3,0,0,03-14-2020
03-16-2020,2,12.5,1,6.2,03-15-2020
03-17-2020,3,18.8,1,6.3,03-16-2020
03-18-2020,4,25.1,1,6.3,03-17-2020
03-19-2020,4,25.1,0,0,03-18-2020
03-20-2020,4,25.1,0,0,03-19-2020
03-21-2020,4,25.1,0,0,03-20-2020
03-22-2020,4,25.1,0,0,03-21-2020
