Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,1,1.1,1,1.1,03-03-2020
03-05-2020,3,3.2,2,2.1,03-04-2020
03-06-2020,4,4.3,1,1.1,03-05-2020
03-07-2020,4,4.3,0,0,03-06-2020
03-08-2020,7,7.6,3,3.3,03-07-2020
03-09-2020,8,8.6,1,1,03-08-2020
03-10-2020,13,14,5,5.4,03-09-2020
03-11-2020,20,21.6,7,7.6,03-10-2020
03-12-2020,20,21.6,0,0,03-11-2020
03-13-2020,23,24.8,3,3.2,03-12-2020
03-14-2020,35,37.8,12,13,03-13-2020
03-15-2020,37,39.9,2,2.1,03-14-2020
03-16-2020,38,41,1,1.1,03-15-2020
03-17-2020,42,45.3,4,4.3,03-16-2020
03-18-2020,51,55,9,9.7,03-17-2020
03-19-2020,51,55,0,0,03-18-2020
03-20-2020,58,62.6,7,7.6,03-19-2020
03-21-2020,58,62.6,0,0,03-20-2020
03-22-2020,59,63.7,1,1.1,03-21-2020
