Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,1,2.3,1,2.3,03-08-2020
03-10-2020,1,2.3,0,0,03-09-2020
03-11-2020,3,6.9,2,4.6,03-10-2020
03-12-2020,4,9.2,1,2.3,03-11-2020
03-13-2020,8,18.5,4,9.3,03-12-2020
03-14-2020,10,23.1,2,4.6,03-13-2020
03-15-2020,14,32.3,4,9.2,03-14-2020
03-16-2020,19,43.9,5,11.6,03-15-2020
03-17-2020,31,71.6,12,27.7,03-16-2020
03-18-2020,36,83.1,5,11.5,03-17-2020
03-19-2020,41,94.7,5,11.6,03-18-2020
03-20-2020,49,113.1,8,18.4,03-19-2020
03-21-2020,63,145.5,14,32.4,03-20-2020
03-22-2020,64,147.8,1,2.3,03-21-2020
