Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,1,2.9,1,2.9,03-09-2020
03-11-2020,3,8.6,2,5.7,03-10-2020
03-12-2020,3,8.6,0,0,03-11-2020
03-13-2020,5,14.4,2,5.8,03-12-2020
03-14-2020,6,17.2,1,2.8,03-13-2020
03-15-2020,6,17.2,0,0,03-14-2020
03-16-2020,10,28.7,4,11.5,03-15-2020
03-17-2020,14,40.2,4,11.5,03-16-2020
03-18-2020,14,40.2,0,0,03-17-2020
03-19-2020,18,51.7,4,11.5,03-18-2020
03-20-2020,20,57.5,2,5.8,03-19-2020
03-21-2020,25,71.8,5,14.3,03-20-2020
03-22-2020,30,86.2,5,14.4,03-21-2020
