Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,1,1.2,1,1.2,03-06-2020
03-08-2020,4,4.9,3,3.7,03-07-2020
03-09-2020,10,12.4,6,7.5,03-08-2020
03-10-2020,11,13.6,1,1.2,03-09-2020
03-11-2020,13,16.1,2,2.5,03-10-2020
03-12-2020,18,22.3,5,6.2,03-11-2020
03-13-2020,25,30.9,7,8.6,03-12-2020
03-14-2020,30,37.1,5,6.2,03-13-2020
03-15-2020,34,42.1,4,5,03-14-2020
03-16-2020,42,52,8,9.9,03-15-2020
03-17-2020,49,60.6,7,8.6,03-16-2020
03-18-2020,60,74.2,11,13.6,03-17-2020
03-19-2020,72,89.1,12,14.9,03-18-2020
03-20-2020,81,100.2,9,11.1,03-19-2020
03-21-2020,95,117.6,14,17.4,03-20-2020
03-22-2020,119,147.2,24,29.6,03-21-2020
