Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,2,1.1,2,1.1,03-05-2020
03-07-2020,2,1.1,0,0,03-06-2020
03-08-2020,16,8.7,14,7.6,03-07-2020
03-09-2020,19,10.3,3,1.6,03-08-2020
03-10-2020,27,14.7,8,4.4,03-09-2020
03-11-2020,32,17.4,5,2.7,03-10-2020
03-12-2020,42,22.8,10,5.4,03-11-2020
03-13-2020,53,28.8,11,6,03-12-2020
03-14-2020,64,34.8,11,6,03-13-2020
03-15-2020,71,38.6,7,3.8,03-14-2020
03-16-2020,86,46.8,15,8.2,03-15-2020
03-17-2020,96,52.2,10,5.4,03-16-2020
03-18-2020,105,57.1,9,4.9,03-17-2020
03-19-2020,113,61.5,8,4.4,03-18-2020
03-20-2020,121,65.8,8,4.3,03-19-2020
03-21-2020,133,72.3,12,6.5,03-20-2020
03-22-2020,140,76.1,7,3.8,03-21-2020
