Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,1,1.1,1,1.1,03-01-2020
03-03-2020,1,1.1,0,0,03-02-2020
03-04-2020,1,1.1,0,0,03-03-2020
03-05-2020,1,1.1,0,0,03-04-2020
03-06-2020,1,1.1,0,0,03-05-2020
03-07-2020,1,1.1,0,0,03-06-2020
03-08-2020,1,1.1,0,0,03-07-2020
03-09-2020,1,1.1,0,0,03-08-2020
03-10-2020,1,1.1,0,0,03-09-2020
03-11-2020,2,2.2,1,1.1,03-10-2020
03-12-2020,3,3.3,1,1.1,03-11-2020
03-13-2020,3,3.3,0,0,03-12-2020
03-14-2020,4,4.4,1,1.1,03-13-2020
03-15-2020,5,5.5,1,1.1,03-14-2020
03-16-2020,11,12,6,6.5,03-15-2020
03-17-2020,14,15.3,3,3.3,03-16-2020
03-18-2020,20,21.9,6,6.6,03-17-2020
03-19-2020,26,28.4,6,6.5,03-18-2020
03-20-2020,35,38.3,9,9.9,03-19-2020
03-21-2020,44,48.1,9,9.8,03-20-2020
03-22-2020,44,48.1,0,0,03-21-2020
