Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,1,0.5,1,0.5,02-29-2020
03-02-2020,1,0.5,0,0,03-01-2020
03-03-2020,1,0.5,0,0,03-02-2020
03-04-2020,3,1.4,2,0.9,03-03-2020
03-05-2020,4,1.8,1,0.4,03-04-2020
03-06-2020,4,1.8,0,0,03-05-2020
03-07-2020,10,4.6,6,2.8,03-06-2020
03-08-2020,12,5.5,2,0.9,03-07-2020
03-09-2020,27,12.4,15,6.9,03-08-2020
03-10-2020,29,13.3,2,0.9,03-09-2020
03-11-2020,42,19.3,13,6,03-10-2020
03-12-2020,50,23,8,3.7,03-11-2020
03-13-2020,67,30.8,17,7.8,03-12-2020
03-14-2020,68,31.3,1,0.5,03-13-2020
03-15-2020,68,31.3,0,0,03-14-2020
03-16-2020,84,38.7,16,7.4,03-15-2020
03-17-2020,88,40.5,4,1.8,03-16-2020
03-18-2020,95,43.7,7,3.2,03-17-2020
03-19-2020,119,54.8,24,11.1,03-18-2020
03-20-2020,133,61.2,14,6.4,03-19-2020
03-21-2020,154,70.9,21,9.7,03-20-2020
03-22-2020,178,81.9,24,11,03-21-2020
