Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,0,0,0,0,03-10-2020
03-12-2020,2,0.9,2,0.9,03-11-2020
03-13-2020,3,1.3,1,0.4,03-12-2020
03-14-2020,6,2.6,3,1.3,03-13-2020
03-15-2020,6,2.6,0,0,03-14-2020
03-16-2020,7,3,1,0.4,03-15-2020
03-17-2020,7,3,0,0,03-16-2020
03-18-2020,11,4.8,4,1.8,03-17-2020
03-19-2020,23,9.9,12,5.1,03-18-2020
03-20-2020,28,12.1,5,2.2,03-19-2020
03-21-2020,39,16.9,11,4.8,03-20-2020
03-22-2020,46,19.9,7,3,03-21-2020
03-23-2020,53,22.9,7,3,03-22-2020
03-24-2020,53,22.9,0,0,03-23-2020
03-25-2020,58,25.1,5,2.2,03-24-2020
03-26-2020,76,32.9,18,7.8,03-25-2020
03-27-2020,80,34.3,4,1.4,03-26-2020
03-28-2020,85,36.5,5,2.2,03-27-2020
03-29-2020,87,37.4,2,0.9,03-28-2020
