Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,1,1.6,1,1.6,03-05-2020
03-07-2020,2,3.2,1,1.6,03-06-2020
03-08-2020,2,3.2,0,0,03-07-2020
03-09-2020,3,4.9,1,1.7,03-08-2020
03-10-2020,4,6.5,1,1.6,03-09-2020
03-11-2020,4,6.5,0,0,03-10-2020
03-12-2020,4,6.5,0,0,03-11-2020
03-13-2020,4,6.5,0,0,03-12-2020
03-14-2020,4,6.5,0,0,03-13-2020
03-15-2020,5,8.1,1,1.6,03-14-2020
03-16-2020,5,8.1,0,0,03-15-2020
03-17-2020,7,11.4,2,3.3,03-16-2020
03-18-2020,10,16.2,3,4.8,03-17-2020
03-19-2020,13,21.1,3,4.9,03-18-2020
03-20-2020,14,22.7,1,1.6,03-19-2020
03-21-2020,16,26,2,3.3,03-20-2020
03-22-2020,20,32.5,4,6.5,03-21-2020
03-23-2020,20,32.5,0,0,03-22-2020
03-24-2020,24,39,4,6.5,03-23-2020
03-25-2020,25,40.6,1,1.6,03-24-2020
03-26-2020,28,45.5,3,4.9,03-25-2020
