Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,1,3.3,1,3.3,03-04-2020
03-06-2020,1,3.3,0,0,03-05-2020
03-07-2020,1,3.3,0,0,03-06-2020
03-08-2020,1,3.3,0,0,03-07-2020
03-09-2020,1,3.3,0,0,03-08-2020
03-10-2020,2,6.6,1,3.3,03-09-2020
03-11-2020,4,13.1,2,6.5,03-10-2020
03-12-2020,7,23,3,9.9,03-11-2020
03-13-2020,11,36.1,4,13.1,03-12-2020
03-14-2020,13,42.7,2,6.6,03-13-2020
03-15-2020,16,52.6,3,9.9,03-14-2020
03-16-2020,20,65.7,4,13.1,03-15-2020
03-17-2020,25,82.1,5,16.4,03-16-2020
03-18-2020,26,85.4,1,3.3,03-17-2020
03-19-2020,31,101.8,5,16.4,03-18-2020
03-20-2020,36,118.2,5,16.4,03-19-2020
03-21-2020,42,137.9,6,19.7,03-20-2020
03-22-2020,50,164.2,8,26.3,03-21-2020
03-23-2020,56,183.9,6,19.7,03-22-2020
03-24-2020,64,210.2,8,26.3,03-23-2020
03-25-2020,68,223.3,4,13.1,03-24-2020
03-26-2020,71,233.2,3,9.9,03-25-2020
03-27-2020,76,247.4,5,14.2,03-26-2020
03-28-2020,82,266.9,6,19.5,03-27-2020
