Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,0,0,0,0,03-10-2020
03-12-2020,0,0,0,0,03-11-2020
03-13-2020,1,4.5,1,4.5,03-12-2020
03-14-2020,1,4.5,0,0,03-13-2020
03-15-2020,1,4.5,0,0,03-14-2020
03-16-2020,1,4.5,0,0,03-15-2020
03-17-2020,1,4.5,0,0,03-16-2020
03-18-2020,2,9,1,4.5,03-17-2020
03-19-2020,4,17.9,2,8.9,03-18-2020
03-20-2020,6,26.9,2,9,03-19-2020
03-21-2020,8,35.8,2,8.9,03-20-2020
03-22-2020,11,49.3,3,13.5,03-21-2020
03-23-2020,13,58.2,2,8.9,03-22-2020
03-24-2020,17,76.1,4,17.9,03-23-2020
03-25-2020,19,85.1,2,9,03-24-2020
03-26-2020,24,107.5,5,22.4,03-25-2020
03-27-2020,33,146.5,9,39,03-26-2020
03-28-2020,39,173.1,6,26.6,03-27-2020
03-29-2020,44,195.3,5,22.2,03-28-2020
03-30-2020,44,195.3,0,0,03-29-2020
