Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,1,4.9,1,4.9,03-10-2020
03-12-2020,1,4.9,0,0,03-11-2020
03-13-2020,2,9.8,1,4.9,03-12-2020
03-14-2020,2,9.8,0,0,03-13-2020
03-15-2020,2,9.8,0,0,03-14-2020
03-16-2020,2,9.8,0,0,03-15-2020
03-17-2020,5,24.5,3,14.7,03-16-2020
03-18-2020,6,29.4,1,4.9,03-17-2020
03-19-2020,6,29.4,0,0,03-18-2020
03-20-2020,8,39.1,2,9.7,03-19-2020
03-21-2020,11,53.8,3,14.7,03-20-2020
03-22-2020,13,63.6,2,9.8,03-21-2020
03-23-2020,19,93,6,29.4,03-22-2020
03-24-2020,23,112.5,4,19.5,03-23-2020
03-25-2020,25,122.3,2,9.8,03-24-2020
03-26-2020,31,151.7,6,29.4,03-25-2020
03-27-2020,42,198.4,11,46.7,03-26-2020
03-28-2020,42,198.4,0,0,03-27-2020
03-29-2020,55,259.9,13,61.5,03-28-2020
03-30-2020,55,259.9,0,0,03-29-2020
