Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,0,0,0,0,03-10-2020
03-12-2020,0,0,0,0,03-11-2020
03-13-2020,0,0,0,0,03-12-2020
03-14-2020,0,0,0,0,03-13-2020
03-15-2020,0,0,0,0,03-14-2020
03-16-2020,0,0,0,0,03-15-2020
03-17-2020,2,6.3,2,6.3,03-16-2020
03-18-2020,6,19,4,12.7,03-17-2020
03-19-2020,6,19,0,0,03-18-2020
03-20-2020,7,22.1,1,3.1,03-19-2020
03-21-2020,11,34.8,4,12.7,03-20-2020
03-22-2020,12,37.9,1,3.1,03-21-2020
03-23-2020,14,44.3,2,6.4,03-22-2020
03-24-2020,15,47.4,1,3.1,03-23-2020
03-25-2020,20,63.2,5,15.8,03-24-2020
03-26-2020,23,72.7,3,9.5,03-25-2020
03-27-2020,25,79.1,2,6.4,03-26-2020
03-28-2020,28,88.6,3,9.5,03-27-2020
