Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,1,3.7,1,3.7,03-10-2020
03-12-2020,3,11,2,7.3,03-11-2020
03-13-2020,5,18.4,2,7.4,03-12-2020
03-14-2020,5,18.4,0,0,03-13-2020
03-15-2020,5,18.4,0,0,03-14-2020
03-16-2020,7,25.8,2,7.4,03-15-2020
03-17-2020,11,40.5,4,14.7,03-16-2020
03-18-2020,12,44.2,1,3.7,03-17-2020
03-19-2020,13,47.9,1,3.7,03-18-2020
03-20-2020,13,47.9,0,0,03-19-2020
03-21-2020,14,51.6,1,3.7,03-20-2020
03-22-2020,14,51.6,0,0,03-21-2020
03-23-2020,16,58.9,2,7.3,03-22-2020
03-24-2020,17,62.6,1,3.7,03-23-2020
03-25-2020,20,73.7,3,11.1,03-24-2020
03-26-2020,21,77.3,1,3.6,03-25-2020
03-27-2020,24,88,3,10.7,03-26-2020
03-28-2020,26,95.3,2,7.3,03-27-2020
03-29-2020,30,110,4,14.7,03-28-2020
