Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,1,3.2,1,3.2,03-06-2020
03-08-2020,1,3.2,0,0,03-07-2020
03-09-2020,2,6.5,1,3.3,03-08-2020
03-10-2020,2,6.5,0,0,03-09-2020
03-11-2020,2,6.5,0,0,03-10-2020
03-12-2020,4,13,2,6.5,03-11-2020
03-13-2020,13,42.2,9,29.2,03-12-2020
03-14-2020,15,48.7,2,6.5,03-13-2020
03-15-2020,16,51.9,1,3.2,03-14-2020
03-16-2020,19,61.7,3,9.8,03-15-2020
03-17-2020,20,64.9,1,3.2,03-16-2020
03-18-2020,26,84.4,6,19.5,03-17-2020
03-19-2020,30,97.4,4,13,03-18-2020
03-20-2020,37,120.1,7,22.7,03-19-2020
03-21-2020,41,133.1,4,13,03-20-2020
03-22-2020,57,185,16,51.9,03-21-2020
03-23-2020,62,201.3,5,16.3,03-22-2020
03-24-2020,67,217.5,5,16.2,03-23-2020
03-25-2020,69,224,2,6.5,03-24-2020
03-26-2020,83,269.4,14,45.4,03-25-2020
03-27-2020,87,278.4,4,9,03-26-2020
