Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,0,0,0,0,03-10-2020
03-12-2020,0,0,0,0,03-11-2020
03-13-2020,0,0,0,0,03-12-2020
03-14-2020,4,8.4,4,8.4,03-13-2020
03-15-2020,6,12.6,2,4.2,03-14-2020
03-16-2020,8,16.8,2,4.2,03-15-2020
03-17-2020,9,18.9,1,2.1,03-16-2020
03-18-2020,9,18.9,0,0,03-17-2020
03-19-2020,11,23.1,2,4.2,03-18-2020
03-20-2020,15,31.6,4,8.5,03-19-2020
03-21-2020,20,42.1,5,10.5,03-20-2020
03-22-2020,22,46.3,2,4.2,03-21-2020
03-23-2020,30,63.1,8,16.8,03-22-2020
03-24-2020,33,69.4,3,6.3,03-23-2020
03-25-2020,38,79.9,5,10.5,03-24-2020
03-26-2020,44,92.5,6,12.6,03-25-2020
03-27-2020,51,106.5,7,14,03-26-2020
03-28-2020,54,112.7,3,6.2,03-27-2020
03-29-2020,60,125.2,6,12.5,03-28-2020
03-30-2020,61,127.3,1,2.1,03-29-2020
03-31-2020,61,127.3,0,0,03-30-2020
