Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,2,7.6,2,7.6,03-06-2020
03-08-2020,2,7.6,0,0,03-07-2020
03-09-2020,2,7.6,0,0,03-08-2020
03-10-2020,2,7.6,0,0,03-09-2020
03-11-2020,2,7.6,0,0,03-10-2020
03-12-2020,1,3.8,-1,-3.8,03-11-2020
03-13-2020,3,11.4,2,7.6,03-12-2020
03-14-2020,4,15.2,1,3.8,03-13-2020
03-15-2020,4,15.2,0,0,03-14-2020
03-16-2020,5,19,1,3.8,03-15-2020
03-17-2020,5,19,0,0,03-16-2020
03-18-2020,6,22.8,1,3.8,03-17-2020
03-19-2020,8,30.4,2,7.6,03-18-2020
03-20-2020,9,34.2,1,3.8,03-19-2020
03-21-2020,13,49.3,4,15.1,03-20-2020
03-22-2020,14,53.1,1,3.8,03-21-2020
03-23-2020,15,56.9,1,3.8,03-22-2020
03-24-2020,17,64.5,2,7.6,03-23-2020
03-25-2020,20,75.9,3,11.4,03-24-2020
03-26-2020,25,94.9,5,19,03-25-2020
03-27-2020,28,105.8,3,10.9,03-26-2020
03-28-2020,30,113.3,2,7.5,03-27-2020
03-29-2020,32,120.9,2,7.6,03-28-2020
