Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,2,3.1,2,3.1,03-04-2020
03-06-2020,3,4.7,1,1.6,03-05-2020
03-07-2020,4,6.2,1,1.5,03-06-2020
03-08-2020,5,7.8,1,1.6,03-07-2020
03-09-2020,5,7.8,0,0,03-08-2020
03-10-2020,5,7.8,0,0,03-09-2020
03-11-2020,5,7.8,0,0,03-10-2020
03-12-2020,5,7.8,0,0,03-11-2020
03-13-2020,6,9.3,1,1.5,03-12-2020
03-14-2020,6,9.3,0,0,03-13-2020
03-15-2020,7,10.9,1,1.6,03-14-2020
03-16-2020,7,10.9,0,0,03-15-2020
03-17-2020,8,12.4,1,1.5,03-16-2020
03-18-2020,9,14,1,1.6,03-17-2020
03-19-2020,10,15.5,1,1.5,03-18-2020
03-20-2020,10,15.5,0,0,03-19-2020
03-21-2020,10,15.5,0,0,03-20-2020
03-22-2020,12,18.7,2,3.2,03-21-2020
03-23-2020,13,20.2,1,1.5,03-22-2020
03-24-2020,16,24.9,3,4.7,03-23-2020
03-25-2020,22,34.2,6,9.3,03-24-2020
03-26-2020,27,42,5,7.8,03-25-2020
03-27-2020,30,46.2,3,4.2,03-26-2020
03-28-2020,31,47.7,1,1.5,03-27-2020
03-29-2020,33,50.8,2,3.1,03-28-2020
03-30-2020,34,52.4,1,1.6,03-29-2020
03-31-2020,34,52.4,0,0,03-30-2020
