Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,1,0.8,1,0.8,03-07-2020
03-09-2020,1,0.8,0,0,03-08-2020
03-10-2020,1,0.8,0,0,03-09-2020
03-11-2020,2,1.6,1,0.8,03-10-2020
03-12-2020,3,2.4,1,0.8,03-11-2020
03-13-2020,2,1.6,-1,-0.8,03-12-2020
03-14-2020,3,2.4,1,0.8,03-13-2020
03-15-2020,4,3.1,1,0.7,03-14-2020
03-16-2020,6,4.7,2,1.6,03-15-2020
03-17-2020,8,6.3,2,1.6,03-16-2020
03-18-2020,12,9.4,4,3.1,03-17-2020
03-19-2020,16,12.5,4,3.1,03-18-2020
03-20-2020,18,14.1,2,1.6,03-19-2020
03-21-2020,23,18,5,3.9,03-20-2020
03-22-2020,28,22,5,4,03-21-2020
03-23-2020,35,27.5,7,5.5,03-22-2020
03-24-2020,40,31.4,5,3.9,03-23-2020
03-25-2020,47,36.9,7,5.5,03-24-2020
03-26-2020,56,43.9,9,7,03-25-2020
03-27-2020,63,48.9,7,5,03-26-2020
03-28-2020,68,52.8,5,3.9,03-27-2020
03-29-2020,79,61.3,11,8.5,03-28-2020
