Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,1,1.7,1,1.7,03-03-2020
03-05-2020,1,1.7,0,0,03-04-2020
03-06-2020,2,3.5,1,1.8,03-05-2020
03-07-2020,2,3.5,0,0,03-06-2020
03-08-2020,2,3.5,0,0,03-07-2020
03-09-2020,2,3.5,0,0,03-08-2020
03-10-2020,2,3.5,0,0,03-09-2020
03-11-2020,4,6.9,2,3.4,03-10-2020
03-12-2020,3,5.2,-1,-1.7,03-11-2020
03-13-2020,3,5.2,0,0,03-12-2020
03-14-2020,4,6.9,1,1.7,03-13-2020
03-15-2020,4,6.9,0,0,03-14-2020
03-16-2020,4,6.9,0,0,03-15-2020
03-17-2020,9,15.6,5,8.7,03-16-2020
03-18-2020,9,15.6,0,0,03-17-2020
03-19-2020,10,17.3,1,1.7,03-18-2020
03-20-2020,10,17.3,0,0,03-19-2020
03-21-2020,11,19.1,1,1.8,03-20-2020
03-22-2020,11,19.1,0,0,03-21-2020
03-23-2020,11,19.1,0,0,03-22-2020
03-24-2020,12,20.8,1,1.7,03-23-2020
03-25-2020,18,31.2,6,10.4,03-24-2020
03-26-2020,20,34.7,2,3.5,03-25-2020
03-27-2020,24,41.4,4,6.7,03-26-2020
03-28-2020,25,43.1,1,1.7,03-27-2020
