Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,1,2.8,1,2.8,03-04-2020
03-06-2020,1,2.8,0,0,03-05-2020
03-07-2020,2,5.6,1,2.8,03-06-2020
03-08-2020,2,5.6,0,0,03-07-2020
03-09-2020,4,11.2,2,5.6,03-08-2020
03-10-2020,5,14,1,2.8,03-09-2020
03-11-2020,8,22.4,3,8.4,03-10-2020
03-12-2020,8,22.4,0,0,03-11-2020
03-13-2020,8,22.4,0,0,03-12-2020
03-14-2020,9,25.2,1,2.8,03-13-2020
03-15-2020,12,33.6,3,8.4,03-14-2020
03-16-2020,13,36.4,1,2.8,03-15-2020
03-17-2020,15,42,2,5.6,03-16-2020
03-18-2020,18,50.4,3,8.4,03-17-2020
03-19-2020,18,50.4,0,0,03-18-2020
03-20-2020,19,53.2,1,2.8,03-19-2020
03-21-2020,19,53.2,0,0,03-20-2020
03-22-2020,19,53.2,0,0,03-21-2020
03-23-2020,20,56,1,2.8,03-22-2020
03-24-2020,29,81.2,9,25.2,03-23-2020
03-25-2020,30,84,1,2.8,03-24-2020
03-26-2020,32,89.6,2,5.6,03-25-2020
03-27-2020,34,94.5,2,4.9,03-26-2020
