Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,1,1.2,1,1.2,03-03-2020
03-05-2020,1,1.2,0,0,03-04-2020
03-06-2020,1,1.2,0,0,03-05-2020
03-07-2020,2,2.3,1,1.1,03-06-2020
03-08-2020,2,2.3,0,0,03-07-2020
03-09-2020,2,2.3,0,0,03-08-2020
03-10-2020,2,2.3,0,0,03-09-2020
03-11-2020,2,2.3,0,0,03-10-2020
03-12-2020,1,1.2,-1,-1.1,03-11-2020
03-13-2020,1,1.2,0,0,03-12-2020
03-14-2020,1,1.2,0,0,03-13-2020
03-15-2020,2,2.3,1,1.1,03-14-2020
03-16-2020,4,4.6,2,2.3,03-15-2020
03-17-2020,6,6.9,2,2.3,03-16-2020
03-18-2020,8,9.2,2,2.3,03-17-2020
03-19-2020,12,13.8,4,4.6,03-18-2020
03-20-2020,17,19.6,5,5.8,03-19-2020
03-21-2020,17,19.6,0,0,03-20-2020
03-22-2020,21,24.2,4,4.6,03-21-2020
03-23-2020,23,26.5,2,2.3,03-22-2020
03-24-2020,31,35.8,8,9.3,03-23-2020
03-25-2020,36,41.5,5,5.7,03-24-2020
03-26-2020,43,49.6,7,8.1,03-25-2020
03-27-2020,51,58.3,8,8.7,03-26-2020
03-28-2020,55,62.9,4,4.6,03-27-2020
03-29-2020,60,68.6,5,5.7,03-28-2020
03-30-2020,60,68.6,0,0,03-29-2020
