Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,0,0,0,0,03-10-2020
03-12-2020,0,0,0,0,03-11-2020
03-13-2020,0,0,0,0,03-12-2020
03-14-2020,0,0,0,0,03-13-2020
03-15-2020,1,2.3,1,2.3,03-14-2020
03-16-2020,2,4.6,1,2.3,03-15-2020
03-17-2020,3,6.8,1,2.2,03-16-2020
03-18-2020,7,16,4,9.2,03-17-2020
03-19-2020,9,20.5,2,4.5,03-18-2020
03-20-2020,11,25.1,2,4.6,03-19-2020
03-21-2020,11,25.1,0,0,03-20-2020
03-22-2020,11,25.1,0,0,03-21-2020
03-23-2020,11,25.1,0,0,03-22-2020
03-24-2020,13,29.6,2,4.5,03-23-2020
03-25-2020,16,36.5,3,6.9,03-24-2020
03-26-2020,16,36.5,0,0,03-25-2020
03-27-2020,17,38.7,1,2.2,03-26-2020
03-28-2020,18,41,1,2.3,03-27-2020
03-29-2020,19,43.2,1,2.2,03-28-2020
