Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,0,0,0,0,03-10-2020
03-12-2020,0,0,0,0,03-11-2020
03-13-2020,0,0,0,0,03-12-2020
03-14-2020,0,0,0,0,03-13-2020
03-15-2020,2,12.1,2,12.1,03-14-2020
03-16-2020,2,12.1,0,0,03-15-2020
03-17-2020,3,18.2,1,6.1,03-16-2020
03-18-2020,5,30.3,2,12.1,03-17-2020
03-19-2020,6,36.4,1,6.1,03-18-2020
03-20-2020,7,42.5,1,6.1,03-19-2020
03-21-2020,7,42.5,0,0,03-20-2020
03-22-2020,7,42.5,0,0,03-21-2020
03-23-2020,9,54.6,2,12.1,03-22-2020
03-24-2020,11,66.7,2,12.1,03-23-2020
03-25-2020,12,72.8,1,6.1,03-24-2020
03-26-2020,15,91,3,18.2,03-25-2020
03-27-2020,15,91.2,0,0.2,03-26-2020
03-28-2020,16,97.3,1,6.1,03-27-2020
03-29-2020,19,115.5,3,18.2,03-28-2020
03-30-2020,20,121.6,1,6.1,03-29-2020
03-31-2020,20,121.6,0,0,03-30-2020
