Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,1,2.4,1,2.4,03-07-2020
03-09-2020,1,2.4,0,0,03-08-2020
03-10-2020,1,2.4,0,0,03-09-2020
03-11-2020,1,2.4,0,0,03-10-2020
03-12-2020,2,4.9,1,2.5,03-11-2020
03-13-2020,3,7.3,1,2.4,03-12-2020
03-14-2020,3,7.3,0,0,03-13-2020
03-15-2020,4,9.8,1,2.5,03-14-2020
03-16-2020,5,12.2,1,2.4,03-15-2020
03-17-2020,6,14.7,1,2.5,03-16-2020
03-18-2020,8,19.5,2,4.8,03-17-2020
03-19-2020,8,19.5,0,0,03-18-2020
03-20-2020,14,34.2,6,14.7,03-19-2020
03-21-2020,17,41.5,3,7.3,03-20-2020
03-22-2020,20,48.8,3,7.3,03-21-2020
03-23-2020,21,51.3,1,2.5,03-22-2020
03-24-2020,23,56.2,2,4.9,03-23-2020
03-25-2020,24,58.6,1,2.4,03-24-2020
03-26-2020,30,73.3,6,14.7,03-25-2020
03-27-2020,30,73,0,-0.3,03-26-2020
03-28-2020,35,85.1,5,12.1,03-27-2020
03-29-2020,38,92.4,3,7.3,03-28-2020
03-30-2020,43,104.6,5,12.2,03-29-2020
03-31-2020,43,104.6,0,0,03-30-2020
