Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,2,1.3,2,1.3,03-10-2020
03-12-2020,4,2.6,2,1.3,03-11-2020
03-13-2020,4,2.6,0,0,03-12-2020
03-14-2020,4,2.6,0,0,03-13-2020
03-15-2020,10,6.4,6,3.8,03-14-2020
03-16-2020,18,11.5,8,5.1,03-15-2020
03-17-2020,21,13.4,3,1.9,03-16-2020
03-18-2020,23,14.7,2,1.3,03-17-2020
03-19-2020,30,19.2,7,4.5,03-18-2020
03-20-2020,32,20.5,2,1.3,03-19-2020
03-21-2020,37,23.7,5,3.2,03-20-2020
03-22-2020,37,23.7,0,0,03-21-2020
03-23-2020,41,26.2,4,2.5,03-22-2020
03-24-2020,44,28.2,3,2,03-23-2020
03-25-2020,47,30.1,3,1.9,03-24-2020
03-26-2020,54,34.6,7,4.5,03-25-2020
03-27-2020,59,37.5,5,2.9,03-26-2020
03-28-2020,63,40.1,4,2.6,03-27-2020
03-29-2020,68,43.2,5,3.1,03-28-2020
03-30-2020,69,43.9,1,0.7,03-29-2020
03-31-2020,69,43.9,0,0,03-30-2020
