Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,2,4.7,2,4.7,03-04-2020
03-06-2020,3,7,1,2.3,03-05-2020
03-07-2020,6,14,3,7,03-06-2020
03-08-2020,6,14,0,0,03-07-2020
03-09-2020,6,14,0,0,03-08-2020
03-10-2020,6,14,0,0,03-09-2020
03-11-2020,10,23.4,4,9.4,03-10-2020
03-12-2020,11,25.7,1,2.3,03-11-2020
03-13-2020,11,25.7,0,0,03-12-2020
03-14-2020,11,25.7,0,0,03-13-2020
03-15-2020,12,28,1,2.3,03-14-2020
03-16-2020,13,30.4,1,2.4,03-15-2020
03-17-2020,15,35,2,4.6,03-16-2020
03-18-2020,16,37.4,1,2.4,03-17-2020
03-19-2020,16,37.4,0,0,03-18-2020
03-20-2020,18,42,2,4.6,03-19-2020
03-21-2020,19,44.4,1,2.4,03-20-2020
03-22-2020,20,46.7,1,2.3,03-21-2020
