Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,1,0.5,1,0.5,03-04-2020
03-06-2020,1,0.5,0,0,03-05-2020
03-07-2020,1,0.5,0,0,03-06-2020
03-08-2020,1,0.5,0,0,03-07-2020
03-09-2020,1,0.5,0,0,03-08-2020
03-10-2020,1,0.5,0,0,03-09-2020
03-11-2020,1,0.5,0,0,03-10-2020
03-12-2020,1,0.5,0,0,03-11-2020
03-13-2020,1,0.5,0,0,03-12-2020
03-14-2020,2,1,1,0.5,03-13-2020
03-15-2020,2,1,0,0,03-14-2020
03-16-2020,3,1.4,1,0.4,03-15-2020
03-17-2020,3,1.4,0,0,03-16-2020
03-18-2020,4,1.9,1,0.5,03-17-2020
03-19-2020,5,2.4,1,0.5,03-18-2020
03-20-2020,5,2.4,0,0,03-19-2020
03-21-2020,11,5.3,6,2.9,03-20-2020
03-22-2020,14,6.7,3,1.4,03-21-2020
03-23-2020,18,8.7,4,2,03-22-2020
03-24-2020,21,10.1,3,1.4,03-23-2020
03-25-2020,28,13.5,7,3.4,03-24-2020
03-26-2020,32,15.4,4,1.9,03-25-2020
03-27-2020,39,18.4,7,3,03-26-2020
03-28-2020,48,22.7,9,4.3,03-27-2020
03-29-2020,57,26.9,9,4.2,03-28-2020
03-30-2020,57,26.9,0,0,03-29-2020
