Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,4,8.7,4,8.7,03-04-2020
03-06-2020,6,13,2,4.3,03-05-2020
03-07-2020,7,15.2,1,2.2,03-06-2020
03-08-2020,7,15.2,0,0,03-07-2020
03-09-2020,7,15.2,0,0,03-08-2020
03-10-2020,8,17.3,1,2.1,03-09-2020
03-11-2020,8,17.3,0,0,03-10-2020
03-12-2020,8,17.3,0,0,03-11-2020
03-13-2020,8,17.3,0,0,03-12-2020
03-14-2020,8,17.3,0,0,03-13-2020
03-15-2020,8,17.3,0,0,03-14-2020
03-16-2020,10,21.6,2,4.3,03-15-2020
03-17-2020,11,23.8,1,2.2,03-16-2020
03-18-2020,12,26,1,2.2,03-17-2020
03-19-2020,13,28.1,1,2.1,03-18-2020
03-20-2020,14,30.3,1,2.2,03-19-2020
03-21-2020,15,32.5,1,2.2,03-20-2020
03-22-2020,16,34.6,1,2.1,03-21-2020
03-23-2020,16,34.6,0,0,03-22-2020
03-24-2020,20,43.3,4,8.7,03-23-2020
03-25-2020,21,45.5,1,2.2,03-24-2020
03-26-2020,23,49.8,2,4.3,03-25-2020
03-27-2020,28,60.1,5,10.3,03-26-2020
03-28-2020,28,60.1,0,0,03-27-2020
03-29-2020,29,62.2,1,2.1,03-28-2020
