Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,2,0.6,2,0.6,03-01-2020
03-03-2020,2,0.6,0,0,03-02-2020
03-04-2020,2,0.6,0,0,03-03-2020
03-05-2020,6,1.7,4,1.1,03-04-2020
03-06-2020,8,2.3,2,0.6,03-05-2020
03-07-2020,11,3.1,3,0.8,03-06-2020
03-08-2020,13,3.7,2,0.6,03-07-2020
03-09-2020,13,3.7,0,0,03-08-2020
03-10-2020,14,4,1,0.3,03-09-2020
03-11-2020,18,5.1,4,1.1,03-10-2020
03-12-2020,25,7.1,7,2,03-11-2020
03-13-2020,26,7.4,1,0.3,03-12-2020
03-14-2020,30,8.5,4,1.1,03-13-2020
03-15-2020,38,10.8,8,2.3,03-14-2020
03-16-2020,48,13.6,10,2.8,03-15-2020
03-17-2020,60,17,12,3.4,03-16-2020
03-18-2020,69,19.6,9,2.6,03-17-2020
03-19-2020,83,23.5,14,3.9,03-18-2020
03-20-2020,101,28.6,18,5.1,03-19-2020
03-21-2020,121,34.3,20,5.7,03-20-2020
03-22-2020,131,37.1,10,2.8,03-21-2020
03-23-2020,145,41.1,14,4,03-22-2020
03-24-2020,160,45.3,15,4.2,03-23-2020
03-25-2020,191,54.1,31,8.8,03-24-2020
03-26-2020,215,60.9,24,6.8,03-25-2020
03-27-2020,243,67.9,28,7,03-26-2020
03-28-2020,265,74.1,22,6.2,03-27-2020
03-29-2020,290,81.1,25,7,03-28-2020
03-30-2020,307,85.8,17,4.7,03-29-2020
03-31-2020,307,85.8,0,0,03-30-2020
