Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,1,2.9,1,2.9,03-07-2020
03-09-2020,1,2.9,0,0,03-08-2020
03-10-2020,1,2.9,0,0,03-09-2020
03-11-2020,1,2.9,0,0,03-10-2020
03-12-2020,1,2.9,0,0,03-11-2020
03-13-2020,1,2.9,0,0,03-12-2020
03-14-2020,1,2.9,0,0,03-13-2020
03-15-2020,2,5.9,1,3,03-14-2020
03-16-2020,4,11.7,2,5.8,03-15-2020
03-17-2020,6,17.6,2,5.9,03-16-2020
03-18-2020,7,20.5,1,2.9,03-17-2020
03-19-2020,8,23.4,1,2.9,03-18-2020
03-20-2020,8,23.4,0,0,03-19-2020
03-21-2020,11,32.2,3,8.8,03-20-2020
03-22-2020,13,38.1,2,5.9,03-21-2020
03-23-2020,16,46.8,3,8.7,03-22-2020
03-24-2020,16,46.8,0,0,03-23-2020
03-25-2020,18,52.7,2,5.9,03-24-2020
03-26-2020,23,67.3,5,14.6,03-25-2020
03-27-2020,26,76.2,3,8.9,03-26-2020
03-28-2020,31,90.9,5,14.7,03-27-2020
03-29-2020,34,99.7,3,8.8,03-28-2020
