Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,1,1.1,1,1.1,03-04-2020
03-06-2020,1,1.1,0,0,03-05-2020
03-07-2020,1,1.1,0,0,03-06-2020
03-08-2020,1,1.1,0,0,03-07-2020
03-09-2020,2,2.2,1,1.1,03-08-2020
03-10-2020,2,2.2,0,0,03-09-2020
03-11-2020,2,2.2,0,0,03-10-2020
03-12-2020,2,2.2,0,0,03-11-2020
03-13-2020,3,3.3,1,1.1,03-12-2020
03-14-2020,3,3.3,0,0,03-13-2020
03-15-2020,3,3.3,0,0,03-14-2020
03-16-2020,4,4.4,1,1.1,03-15-2020
03-17-2020,6,6.6,2,2.2,03-16-2020
03-18-2020,7,7.7,1,1.1,03-17-2020
03-19-2020,13,14.3,6,6.6,03-18-2020
03-20-2020,22,24.2,9,9.9,03-19-2020
03-21-2020,26,28.6,4,4.4,03-20-2020
03-22-2020,27,29.7,1,1.1,03-21-2020
03-23-2020,29,31.9,2,2.2,03-22-2020
