Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,1,0.1,1,0.1,03-03-2020
03-05-2020,2,0.2,1,0.1,03-04-2020
03-06-2020,5,0.6,3,0.4,03-05-2020
03-07-2020,5,0.6,0,0,03-06-2020
03-08-2020,6,0.7,1,0.1,03-07-2020
03-09-2020,6,0.7,0,0,03-08-2020
03-10-2020,8,0.9,2,0.2,03-09-2020
03-11-2020,8,0.9,0,0,03-10-2020
03-12-2020,11,1.3,3,0.4,03-11-2020
03-13-2020,20,2.3,9,1,03-12-2020
03-14-2020,31,3.6,11,1.3,03-13-2020
03-15-2020,31,3.6,0,0,03-14-2020
03-16-2020,39,4.5,8,0.9,03-15-2020
03-17-2020,56,6.5,17,2,03-16-2020
03-18-2020,61,7.1,5,0.6,03-17-2020
03-19-2020,85,9.8,24,2.7,03-18-2020
03-20-2020,127,14.7,42,4.9,03-19-2020
03-21-2020,161,18.7,34,4,03-20-2020
03-22-2020,188,21.8,27,3.1,03-21-2020
03-23-2020,203,23.5,15,1.7,03-22-2020
03-24-2020,250,29,47,5.5,03-23-2020
03-25-2020,297,34.4,47,5.4,03-24-2020
03-26-2020,351,40.7,54,6.3,03-25-2020
03-27-2020,411,47.1,60,6.4,03-26-2020
03-28-2020,477,54.7,66,7.6,03-27-2020
