Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,1,2.4,1,2.4,03-02-2020
03-04-2020,1,2.4,0,0,03-03-2020
03-05-2020,2,4.9,1,2.5,03-04-2020
03-06-2020,2,4.9,0,0,03-05-2020
03-07-2020,3,7.3,1,2.4,03-06-2020
03-08-2020,4,9.7,1,2.4,03-07-2020
03-09-2020,4,9.7,0,0,03-08-2020
03-10-2020,4,9.7,0,0,03-09-2020
03-11-2020,4,9.7,0,0,03-10-2020
03-12-2020,5,12.1,1,2.4,03-11-2020
03-13-2020,5,12.1,0,0,03-12-2020
03-14-2020,5,12.1,0,0,03-13-2020
03-15-2020,5,12.1,0,0,03-14-2020
03-16-2020,5,12.1,0,0,03-15-2020
03-17-2020,6,14.6,1,2.5,03-16-2020
03-18-2020,6,14.6,0,0,03-17-2020
03-19-2020,6,14.6,0,0,03-18-2020
03-20-2020,6,14.6,0,0,03-19-2020
03-21-2020,6,14.6,0,0,03-20-2020
03-22-2020,7,17,1,2.4,03-21-2020
03-23-2020,7,17,0,0,03-22-2020
03-24-2020,11,26.7,4,9.7,03-23-2020
03-25-2020,11,26.7,0,0,03-24-2020
03-26-2020,12,29.1,1,2.4,03-25-2020
03-27-2020,13,31.2,1,2.1,03-26-2020
03-28-2020,17,40.9,4,9.7,03-27-2020
03-29-2020,20,48.1,3,7.2,03-28-2020
