Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,0,0,0,0,03-10-2020
03-12-2020,0,0,0,0,03-11-2020
03-13-2020,0,0,0,0,03-12-2020
03-14-2020,0,0,0,0,03-13-2020
03-15-2020,1,0.6,1,0.6,03-14-2020
03-16-2020,2,1.3,1,0.7,03-15-2020
03-17-2020,4,2.6,2,1.3,03-16-2020
03-18-2020,4,2.6,0,0,03-17-2020
03-19-2020,5,3.2,1,0.6,03-18-2020
03-20-2020,8,5.2,3,2,03-19-2020
03-21-2020,12,7.8,4,2.6,03-20-2020
03-22-2020,16,10.4,4,2.6,03-21-2020
03-23-2020,18,11.7,2,1.3,03-22-2020
03-24-2020,23,14.9,5,3.2,03-23-2020
03-25-2020,23,14.9,0,0,03-24-2020
03-26-2020,30,19.5,7,4.6,03-25-2020
03-27-2020,40,25.6,10,6.1,03-26-2020
03-28-2020,45,28.8,5,3.2,03-27-2020
03-29-2020,53,34,8,5.2,03-28-2020
03-30-2020,53,34,0,0,03-29-2020
