Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,1,1.2,1,1.2,03-10-2020
03-12-2020,2,2.5,1,1.3,03-11-2020
03-13-2020,2,2.5,0,0,03-12-2020
03-14-2020,2,2.5,0,0,03-13-2020
03-15-2020,2,2.5,0,0,03-14-2020
03-16-2020,2,2.5,0,0,03-15-2020
03-17-2020,2,2.5,0,0,03-16-2020
03-18-2020,4,5,2,2.5,03-17-2020
03-19-2020,7,8.7,3,3.7,03-18-2020
03-20-2020,11,13.7,4,5,03-19-2020
03-21-2020,14,17.5,3,3.8,03-20-2020
03-22-2020,20,25,6,7.5,03-21-2020
03-23-2020,22,27.5,2,2.5,03-22-2020
03-24-2020,23,28.7,1,1.2,03-23-2020
03-25-2020,32,39.9,9,11.2,03-24-2020
03-26-2020,39,48.7,7,8.8,03-25-2020
03-27-2020,48,59.1,9,10.4,03-26-2020
03-28-2020,52,64,4,4.9,03-27-2020
03-29-2020,56,68.9,4,4.9,03-28-2020
