Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,2,1.3,2,1.3,03-06-2020
03-08-2020,2,1.3,0,0,03-07-2020
03-09-2020,2,1.3,0,0,03-08-2020
03-10-2020,2,1.3,0,0,03-09-2020
03-11-2020,2,1.3,0,0,03-10-2020
03-12-2020,2,1.3,0,0,03-11-2020
03-13-2020,2,1.3,0,0,03-12-2020
03-14-2020,2,1.3,0,0,03-13-2020
03-15-2020,2,1.3,0,0,03-14-2020
03-16-2020,2,1.3,0,0,03-15-2020
03-17-2020,2,1.3,0,0,03-16-2020
03-18-2020,2,1.3,0,0,03-17-2020
03-19-2020,4,2.6,2,1.3,03-18-2020
03-20-2020,3,1.9,-1,-0.7,03-19-2020
03-21-2020,9,5.8,6,3.9,03-20-2020
03-22-2020,11,7.1,2,1.3,03-21-2020
03-23-2020,19,12.2,8,5.1,03-22-2020
03-24-2020,20,12.8,1,0.6,03-23-2020
03-25-2020,29,18.6,9,5.8,03-24-2020
03-26-2020,31,19.9,2,1.3,03-25-2020
03-27-2020,46,29.4,15,9.5,03-26-2020
03-28-2020,50,31.9,4,2.5,03-27-2020
03-29-2020,56,35.7,6,3.8,03-28-2020
