Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,2,0.4,2,0.4,03-05-2020
03-07-2020,2,0.4,0,0,03-06-2020
03-08-2020,2,0.4,0,0,03-07-2020
03-09-2020,2,0.4,0,0,03-08-2020
03-10-2020,3,0.6,1,0.2,03-09-2020
03-11-2020,7,1.3,4,0.7,03-10-2020
03-12-2020,7,1.3,0,0,03-11-2020
03-13-2020,8,1.5,1,0.2,03-12-2020
03-14-2020,9,1.7,1,0.2,03-13-2020
03-15-2020,10,1.9,1,0.2,03-14-2020
03-16-2020,14,2.6,4,0.7,03-15-2020
03-17-2020,17,3.2,3,0.6,03-16-2020
03-18-2020,21,3.9,4,0.7,03-17-2020
03-19-2020,27,5,6,1.1,03-18-2020
03-20-2020,36,6.7,9,1.7,03-19-2020
03-21-2020,44,8.2,8,1.5,03-20-2020
03-22-2020,47,8.7,3,0.5,03-21-2020
03-23-2020,53,9.9,6,1.2,03-22-2020
03-24-2020,63,11.7,10,1.8,03-23-2020
03-25-2020,81,15.1,18,3.4,03-24-2020
03-26-2020,103,19.2,22,4.1,03-25-2020
03-27-2020,124,22.7,21,3.5,03-26-2020
03-28-2020,161,29.5,37,6.8,03-27-2020
03-29-2020,176,32.3,15,2.8,03-28-2020
