Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,1,0.8,1,0.8,03-09-2020
03-11-2020,1,0.8,0,0,03-10-2020
03-12-2020,1,0.8,0,0,03-11-2020
03-13-2020,4,3.2,3,2.4,03-12-2020
03-14-2020,4,3.2,0,0,03-13-2020
03-15-2020,4,3.2,0,0,03-14-2020
03-16-2020,8,6.4,4,3.2,03-15-2020
03-17-2020,8,6.4,0,0,03-16-2020
03-18-2020,11,8.8,3,2.4,03-17-2020
03-19-2020,12,9.6,1,0.8,03-18-2020
03-20-2020,14,11.2,2,1.6,03-19-2020
03-21-2020,16,12.8,2,1.6,03-20-2020
03-22-2020,16,12.8,0,0,03-21-2020
03-23-2020,16,12.8,0,0,03-22-2020
03-24-2020,20,16,4,3.2,03-23-2020
03-25-2020,21,16.8,1,0.8,03-24-2020
03-26-2020,28,22.4,7,5.6,03-25-2020
03-27-2020,30,24,2,1.6,03-26-2020
03-28-2020,35,28,5,4,03-27-2020
03-29-2020,37,29.6,2,1.6,03-28-2020
03-30-2020,37,29.6,0,0,03-29-2020
