Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,2,0.3,2,0.3,03-01-2020
03-03-2020,1,0.2,-1,-0.1,03-02-2020
03-04-2020,3,0.5,2,0.3,03-03-2020
03-05-2020,5,0.8,2,0.3,03-04-2020
03-06-2020,9,1.4,4,0.6,03-05-2020
03-07-2020,11,1.7,2,0.3,03-06-2020
03-08-2020,14,2.2,3,0.5,03-07-2020
03-09-2020,14,2.2,0,0,03-08-2020
03-10-2020,15,2.3,1,0.1,03-09-2020
03-11-2020,15,2.3,0,0,03-10-2020
03-12-2020,15,2.3,0,0,03-11-2020
03-13-2020,20,3.1,5,0.8,03-12-2020
03-14-2020,24,3.7,4,0.6,03-13-2020
03-15-2020,25,3.9,1,0.2,03-14-2020
03-16-2020,30,4.7,5,0.8,03-15-2020
03-17-2020,41,6.4,11,1.7,03-16-2020
03-18-2020,58,9,17,2.6,03-17-2020
03-19-2020,81,12.6,23,3.6,03-18-2020
03-20-2020,104,16.1,23,3.5,03-19-2020
03-21-2020,120,18.6,16,2.5,03-20-2020
03-22-2020,139,21.6,19,3,03-21-2020
03-23-2020,149,23.1,10,1.5,03-22-2020
