Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,1,9.4,1,9.4,03-07-2020
03-09-2020,1,9.4,0,0,03-08-2020
03-10-2020,2,18.9,1,9.5,03-09-2020
03-11-2020,7,66.1,5,47.2,03-10-2020
03-12-2020,8,75.6,1,9.5,03-11-2020
03-13-2020,11,103.9,3,28.3,03-12-2020
03-14-2020,12,113.3,1,9.4,03-13-2020
03-15-2020,12,113.3,0,0,03-14-2020
03-16-2020,14,132.2,2,18.9,03-15-2020
03-17-2020,14,132.2,0,0,03-16-2020
03-18-2020,19,179.4,5,47.2,03-17-2020
03-19-2020,20,188.9,1,9.5,03-18-2020
03-20-2020,25,236.1,5,47.2,03-19-2020
03-21-2020,32,302.2,7,66.1,03-20-2020
03-22-2020,37,349.5,5,47.3,03-21-2020
03-23-2020,40,377.8,3,28.3,03-22-2020
03-24-2020,42,396.7,2,18.9,03-23-2020
03-25-2020,42,396.7,0,0,03-24-2020
03-26-2020,42,396.7,0,0,03-25-2020
03-27-2020,51,472.9,9,76.2,03-26-2020
03-28-2020,53,491.5,2,18.6,03-27-2020
03-29-2020,59,547.1,6,55.6,03-28-2020
