Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,1,3.1,1,3.1,03-07-2020
03-09-2020,1,3.1,0,0,03-08-2020
03-10-2020,1,3.1,0,0,03-09-2020
03-11-2020,3,9.3,2,6.2,03-10-2020
03-12-2020,3,9.3,0,0,03-11-2020
03-13-2020,3,9.3,0,0,03-12-2020
03-14-2020,3,9.3,0,0,03-13-2020
03-15-2020,4,12.4,1,3.1,03-14-2020
03-16-2020,5,15.5,1,3.1,03-15-2020
03-17-2020,8,24.7,3,9.2,03-16-2020
03-18-2020,8,24.7,0,0,03-17-2020
03-19-2020,10,30.9,2,6.2,03-18-2020
03-20-2020,13,40.2,3,9.3,03-19-2020
03-21-2020,19,58.7,6,18.5,03-20-2020
03-22-2020,22,68,3,9.3,03-21-2020
03-23-2020,22,68,0,0,03-22-2020
03-24-2020,25,77.3,3,9.3,03-23-2020
03-25-2020,30,92.7,5,15.4,03-24-2020
03-26-2020,35,108.2,5,15.5,03-25-2020
03-27-2020,42,129.3,7,21.1,03-26-2020
03-28-2020,46,141.7,4,12.4,03-27-2020
03-29-2020,53,163.2,7,21.5,03-28-2020
03-30-2020,53,163.2,0,0,03-29-2020
