Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,1,0.4,1,0.4,03-02-2020
03-04-2020,1,0.4,0,0,03-03-2020
03-05-2020,3,1.3,2,0.9,03-04-2020
03-06-2020,4,1.7,1,0.4,03-05-2020
03-07-2020,4,1.7,0,0,03-06-2020
03-08-2020,6,2.6,2,0.9,03-07-2020
03-09-2020,7,3,1,0.4,03-08-2020
03-10-2020,8,3.5,1,0.5,03-09-2020
03-11-2020,8,3.5,0,0,03-10-2020
03-12-2020,8,3.5,0,0,03-11-2020
03-13-2020,12,5.2,4,1.7,03-12-2020
03-14-2020,13,5.6,1,0.4,03-13-2020
03-15-2020,21,9.1,8,3.5,03-14-2020
03-16-2020,21,9.1,0,0,03-15-2020
03-17-2020,22,9.5,1,0.4,03-16-2020
03-18-2020,23,9.9,1,0.4,03-17-2020
03-19-2020,24,10.4,1,0.5,03-18-2020
03-20-2020,28,12.1,4,1.7,03-19-2020
03-21-2020,35,15.1,7,3,03-20-2020
03-22-2020,46,19.9,11,4.8,03-21-2020
03-23-2020,55,23.7,9,3.8,03-22-2020
03-24-2020,68,29.4,13,5.7,03-23-2020
03-25-2020,80,34.5,12,5.1,03-24-2020
03-26-2020,93,40.1,13,5.6,03-25-2020
03-27-2020,113,48.2,20,8.1,03-26-2020
03-28-2020,128,54.6,15,6.4,03-27-2020
03-29-2020,139,59.3,11,4.7,03-28-2020
03-30-2020,139,59.3,0,0,03-29-2020
