Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,1,2.3,1,2.3,03-07-2020
03-09-2020,1,2.3,0,0,03-08-2020
03-10-2020,3,6.9,2,4.6,03-09-2020
03-11-2020,5,11.4,2,4.5,03-10-2020
03-12-2020,5,11.4,0,0,03-11-2020
03-13-2020,6,13.7,1,2.3,03-12-2020
03-14-2020,7,16,1,2.3,03-13-2020
03-15-2020,8,18.3,1,2.3,03-14-2020
03-16-2020,10,22.8,2,4.5,03-15-2020
03-17-2020,12,27.4,2,4.6,03-16-2020
03-18-2020,13,29.7,1,2.3,03-17-2020
03-19-2020,14,32,1,2.3,03-18-2020
03-20-2020,15,34.3,1,2.3,03-19-2020
03-21-2020,18,41.1,3,6.8,03-20-2020
03-22-2020,20,45.7,2,4.6,03-21-2020
03-23-2020,24,54.8,4,9.1,03-22-2020
03-24-2020,24,54.8,0,0,03-23-2020
03-25-2020,31,70.8,7,16,03-24-2020
03-26-2020,37,84.5,6,13.7,03-25-2020
03-27-2020,40,91.2,3,6.7,03-26-2020
