Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,2,14.1,2,14.1,03-08-2020
03-10-2020,2,14.1,0,0,03-09-2020
03-11-2020,6,42.3,4,28.2,03-10-2020
03-12-2020,6,42.3,0,0,03-11-2020
03-13-2020,7,49.3,1,7,03-12-2020
03-14-2020,7,49.3,0,0,03-13-2020
03-15-2020,7,49.3,0,0,03-14-2020
03-16-2020,7,49.3,0,0,03-15-2020
03-17-2020,7,49.3,0,0,03-16-2020
03-18-2020,9,63.4,2,14.1,03-17-2020
03-19-2020,9,63.4,0,0,03-18-2020
03-20-2020,9,63.4,0,0,03-19-2020
03-21-2020,10,70.4,1,7,03-20-2020
03-22-2020,12,84.5,2,14.1,03-21-2020
03-23-2020,12,84.5,0,0,03-22-2020
03-24-2020,12,84.5,0,0,03-23-2020
03-25-2020,12,84.5,0,0,03-24-2020
03-26-2020,14,98.6,2,14.1,03-25-2020
03-27-2020,18,125.3,4,26.7,03-26-2020
03-28-2020,21,146.1,3,20.8,03-27-2020
03-29-2020,22,153.1,1,7,03-28-2020
