Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,1,1.1,1,1.1,03-01-2020
03-03-2020,4,4.4,3,3.3,03-02-2020
03-04-2020,4,4.4,0,0,03-03-2020
03-05-2020,4,4.4,0,0,03-04-2020
03-06-2020,4,4.4,0,0,03-05-2020
03-07-2020,4,4.4,0,0,03-06-2020
03-08-2020,5,5.5,1,1.1,03-07-2020
03-09-2020,7,7.6,2,2.1,03-08-2020
03-10-2020,11,12,4,4.4,03-09-2020
03-11-2020,12,13.1,1,1.1,03-10-2020
03-12-2020,14,15.3,2,2.2,03-11-2020
03-13-2020,16,17.5,2,2.2,03-12-2020
03-14-2020,17,18.6,1,1.1,03-13-2020
03-15-2020,17,18.6,0,0,03-14-2020
03-16-2020,17,18.6,0,0,03-15-2020
03-17-2020,19,20.8,2,2.2,03-16-2020
03-18-2020,20,21.9,1,1.1,03-17-2020
03-19-2020,22,24,2,2.1,03-18-2020
03-20-2020,26,28.4,4,4.4,03-19-2020
03-21-2020,32,35,6,6.6,03-20-2020
03-22-2020,38,41.5,6,6.5,03-21-2020
03-23-2020,49,53.5,11,12,03-22-2020
