Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,2,1.3,2,1.3,03-06-2020
03-08-2020,2,1.3,0,0,03-07-2020
03-09-2020,3,1.9,1,0.6,03-08-2020
03-10-2020,4,2.6,1,0.7,03-09-2020
03-11-2020,5,3.2,1,0.6,03-10-2020
03-12-2020,8,5.2,3,2,03-11-2020
03-13-2020,11,7.1,3,1.9,03-12-2020
03-14-2020,14,9.1,3,2,03-13-2020
03-15-2020,14,9.1,0,0,03-14-2020
03-16-2020,20,13,6,3.9,03-15-2020
03-17-2020,24,15.6,4,2.6,03-16-2020
03-18-2020,30,19.5,6,3.9,03-17-2020
03-19-2020,35,22.7,5,3.2,03-18-2020
03-20-2020,38,24.6,3,1.9,03-19-2020
03-21-2020,45,29.2,7,4.6,03-20-2020
03-22-2020,55,35.7,10,6.5,03-21-2020
03-23-2020,60,38.9,5,3.2,03-22-2020
