Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,1,2.3,1,2.3,03-04-2020
03-06-2020,1,2.3,0,0,03-05-2020
03-07-2020,1,2.3,0,0,03-06-2020
03-08-2020,1,2.3,0,0,03-07-2020
03-09-2020,1,2.3,0,0,03-08-2020
03-10-2020,1,2.3,0,0,03-09-2020
03-11-2020,2,4.5,1,2.2,03-10-2020
03-12-2020,2,4.5,0,0,03-11-2020
03-13-2020,4,9.1,2,4.6,03-12-2020
03-14-2020,4,9.1,0,0,03-13-2020
03-15-2020,4,9.1,0,0,03-14-2020
03-16-2020,4,9.1,0,0,03-15-2020
03-17-2020,4,9.1,0,0,03-16-2020
03-18-2020,5,11.3,1,2.2,03-17-2020
03-19-2020,6,13.6,1,2.3,03-18-2020
03-20-2020,7,15.9,1,2.3,03-19-2020
03-21-2020,11,24.9,4,9,03-20-2020
03-22-2020,15,34,4,9.1,03-21-2020
03-23-2020,16,36.3,1,2.3,03-22-2020
03-24-2020,19,43,3,6.7,03-23-2020
03-25-2020,20,45.3,1,2.3,03-24-2020
03-26-2020,25,56.6,5,11.3,03-25-2020
03-27-2020,37,82.8,12,26.2,03-26-2020
