Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,1,4.3,0,0,02-26-2020
02-28-2020,1,4.3,0,0,02-27-2020
02-29-2020,3,12.9,2,8.6,02-28-2020
03-01-2020,3,12.9,0,0,02-29-2020
03-02-2020,4,17.1,1,4.2,03-01-2020
03-03-2020,5,21.4,1,4.3,03-02-2020
03-04-2020,5,21.4,0,0,03-03-2020
03-05-2020,6,25.7,1,4.3,03-04-2020
03-06-2020,8,34.3,2,8.6,03-05-2020
03-07-2020,7,30,-1,-4.3,03-06-2020
03-08-2020,7,30,0,0,03-07-2020
03-09-2020,7,30,0,0,03-08-2020
03-10-2020,7,30,0,0,03-09-2020
03-11-2020,7,30,0,0,03-10-2020
03-12-2020,6,25.7,-1,-4.3,03-11-2020
03-13-2020,7,30,1,4.3,03-12-2020
03-14-2020,7,30,0,0,03-13-2020
03-15-2020,7,30,0,0,03-14-2020
03-16-2020,7,30,0,0,03-15-2020
03-17-2020,8,34.3,1,4.3,03-16-2020
03-18-2020,9,38.6,1,4.3,03-17-2020
03-19-2020,11,47.2,2,8.6,03-18-2020
03-20-2020,13,55.7,2,8.5,03-19-2020
03-21-2020,14,60,1,4.3,03-20-2020
03-22-2020,16,68.6,2,8.6,03-21-2020
03-23-2020,17,72.9,1,4.3,03-22-2020
03-24-2020,20,85.7,3,12.8,03-23-2020
03-25-2020,20,85.7,0,0,03-24-2020
03-26-2020,21,90,1,4.3,03-25-2020
03-27-2020,25,106.8,4,16.8,03-26-2020
03-28-2020,29,123.9,4,17.1,03-27-2020
03-29-2020,31,132.4,2,8.5,03-28-2020
03-30-2020,31,132.4,0,0,03-29-2020
03-31-2020,31,132.4,0,0,03-30-2020
