Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,1,2.4,1,2.4,03-03-2020
03-05-2020,1,2.4,0,0,03-04-2020
03-06-2020,2,4.8,1,2.4,03-05-2020
03-07-2020,6,14.4,4,9.6,03-06-2020
03-08-2020,7,16.8,1,2.4,03-07-2020
03-09-2020,12,28.7,5,11.9,03-08-2020
03-10-2020,13,31.1,1,2.4,03-09-2020
03-11-2020,18,43.1,5,12,03-10-2020
03-12-2020,21,50.3,3,7.2,03-11-2020
03-13-2020,25,59.8,4,9.5,03-12-2020
03-14-2020,28,67,3,7.2,03-13-2020
03-15-2020,33,79,5,12,03-14-2020
03-16-2020,43,102.9,10,23.9,03-15-2020
03-17-2020,49,117.3,6,14.4,03-16-2020
03-18-2020,53,126.8,4,9.5,03-17-2020
03-19-2020,60,143.6,7,16.8,03-18-2020
03-20-2020,71,169.9,11,26.3,03-19-2020
03-21-2020,76,181.9,5,12,03-20-2020
03-22-2020,82,196.3,6,14.4,03-21-2020
03-23-2020,84,201,2,4.7,03-22-2020
03-24-2020,92,220.2,8,19.2,03-23-2020
03-25-2020,94,225,2,4.8,03-24-2020
03-26-2020,107,256.1,13,31.1,03-25-2020
03-27-2020,123,292,16,35.9,03-26-2020
03-28-2020,130,308.6,7,16.6,03-27-2020
03-29-2020,142,337.1,12,28.5,03-28-2020
03-30-2020,154,365.6,12,28.5,03-29-2020
03-31-2020,154,365.6,0,0,03-30-2020
