Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,0,0,0,0,03-10-2020
03-12-2020,1,2.7,1,2.7,03-11-2020
03-13-2020,2,5.3,1,2.6,03-12-2020
03-14-2020,4,10.6,2,5.3,03-13-2020
03-15-2020,4,10.6,0,0,03-14-2020
03-16-2020,4,10.6,0,0,03-15-2020
03-17-2020,4,10.6,0,0,03-16-2020
03-18-2020,7,18.6,3,8,03-17-2020
03-19-2020,7,18.6,0,0,03-18-2020
03-20-2020,7,18.6,0,0,03-19-2020
03-21-2020,9,23.9,2,5.3,03-20-2020
03-22-2020,10,26.6,1,2.7,03-21-2020
03-23-2020,11,29.3,1,2.7,03-22-2020
03-24-2020,18,47.9,7,18.6,03-23-2020
03-25-2020,21,55.9,3,8,03-24-2020
03-26-2020,25,66.5,4,10.6,03-25-2020
03-27-2020,28,74.8,3,8.3,03-26-2020
03-28-2020,29,77.4,1,2.6,03-27-2020
03-29-2020,29,77.4,0,0,03-28-2020
03-30-2020,29,77.4,0,0,03-29-2020
