Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,0,0,0,0,03-10-2020
03-12-2020,0,0,0,0,03-11-2020
03-13-2020,0,0,0,0,03-12-2020
03-14-2020,0,0,0,0,03-13-2020
03-15-2020,0,0,0,0,03-14-2020
03-16-2020,0,0,0,0,03-15-2020
03-17-2020,0,0,0,0,03-16-2020
03-18-2020,0,0,0,0,03-17-2020
03-19-2020,0,0,0,0,03-18-2020
03-20-2020,1,7.4,1,7.4,03-19-2020
03-21-2020,3,22.2,2,14.8,03-20-2020
03-22-2020,5,37,2,14.8,03-21-2020
03-23-2020,5,37,0,0,03-22-2020
03-24-2020,6,44.4,1,7.4,03-23-2020
03-25-2020,7,51.8,1,7.4,03-24-2020
03-26-2020,8,59.2,1,7.4,03-25-2020
03-27-2020,11,81.6,3,22.4,03-26-2020
03-28-2020,13,96.4,2,14.8,03-27-2020
03-29-2020,15,111.3,2,14.9,03-28-2020
03-30-2020,15,111.3,0,0,03-29-2020
