Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,1,1.2,1,1.2,03-10-2020
03-12-2020,2,2.3,1,1.1,03-11-2020
03-13-2020,2,2.3,0,0,03-12-2020
03-14-2020,4,4.6,2,2.3,03-13-2020
03-15-2020,5,5.8,1,1.2,03-14-2020
03-16-2020,6,6.9,1,1.1,03-15-2020
03-17-2020,8,9.2,2,2.3,03-16-2020
03-18-2020,14,16.1,6,6.9,03-17-2020
03-19-2020,15,17.3,1,1.2,03-18-2020
03-20-2020,18,20.7,3,3.4,03-19-2020
03-21-2020,19,21.9,1,1.2,03-20-2020
03-22-2020,24,27.6,5,5.7,03-21-2020
03-23-2020,29,33.4,5,5.8,03-22-2020
03-24-2020,46,53,17,19.6,03-23-2020
03-25-2020,53,61,7,8,03-24-2020
03-26-2020,63,72.6,10,11.6,03-25-2020
03-27-2020,68,78.1,5,5.5,03-26-2020
03-28-2020,75,86.2,7,8.1,03-27-2020
03-29-2020,78,89.6,3,3.4,03-28-2020
