Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,0,0,0,0,03-10-2020
03-12-2020,0,0,0,0,03-11-2020
03-13-2020,0,0,0,0,03-12-2020
03-14-2020,1,2.2,1,2.2,03-13-2020
03-15-2020,2,4.4,1,2.2,03-14-2020
03-16-2020,2,4.4,0,0,03-15-2020
03-17-2020,3,6.6,1,2.2,03-16-2020
03-18-2020,3,6.6,0,0,03-17-2020
03-19-2020,3,6.6,0,0,03-18-2020
03-20-2020,5,11,2,4.4,03-19-2020
03-21-2020,6,13.1,1,2.1,03-20-2020
03-22-2020,8,17.5,2,4.4,03-21-2020
03-23-2020,8,17.5,0,0,03-22-2020
03-24-2020,17,37.2,9,19.7,03-23-2020
03-25-2020,21,46,4,8.8,03-24-2020
03-26-2020,26,57,5,11,03-25-2020
03-27-2020,28,61.2,2,4.2,03-26-2020
03-28-2020,32,70,4,8.8,03-27-2020
