Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,1,0.8,1,0.8,03-04-2020
03-06-2020,2,1.6,1,0.8,03-05-2020
03-07-2020,3,2.5,1,0.9,03-06-2020
03-08-2020,4,3.3,1,0.8,03-07-2020
03-09-2020,6,4.9,2,1.6,03-08-2020
03-10-2020,7,5.8,1,0.9,03-09-2020
03-11-2020,8,6.6,1,0.8,03-10-2020
03-12-2020,8,6.6,0,0,03-11-2020
03-13-2020,10,8.2,2,1.6,03-12-2020
03-14-2020,16,13.2,6,5,03-13-2020
03-15-2020,21,17.3,5,4.1,03-14-2020
03-16-2020,24,19.7,3,2.4,03-15-2020
03-17-2020,33,27.1,9,7.4,03-16-2020
03-18-2020,41,33.7,8,6.6,03-17-2020
03-19-2020,42,34.5,1,0.8,03-18-2020
03-20-2020,56,46.1,14,11.6,03-19-2020
03-21-2020,57,46.9,1,0.8,03-20-2020
03-22-2020,59,48.5,2,1.6,03-21-2020
03-23-2020,60,49.4,1,0.9,03-22-2020
03-24-2020,94,77.3,34,27.9,03-23-2020
03-25-2020,112,92.1,18,14.8,03-24-2020
03-26-2020,118,97.1,6,5,03-25-2020
03-27-2020,126,103.7,8,6.6,03-26-2020
03-28-2020,162,133.3,36,29.6,03-27-2020
03-29-2020,173,142.3,11,9,03-28-2020
03-30-2020,185,152.2,12,9.9,03-29-2020
03-31-2020,185,152.2,0,0,03-30-2020
