Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,0,0,0,0,03-10-2020
03-12-2020,0,0,0,0,03-11-2020
03-13-2020,1,5.9,1,5.9,03-12-2020
03-14-2020,3,17.6,2,11.7,03-13-2020
03-15-2020,3,17.6,0,0,03-14-2020
03-16-2020,3,17.6,0,0,03-15-2020
03-17-2020,5,29.4,2,11.8,03-16-2020
03-18-2020,7,41.2,2,11.8,03-17-2020
03-19-2020,7,41.2,0,0,03-18-2020
03-20-2020,7,41.2,0,0,03-19-2020
03-21-2020,7,41.2,0,0,03-20-2020
03-22-2020,8,47.1,1,5.9,03-21-2020
03-23-2020,9,52.9,1,5.8,03-22-2020
03-24-2020,11,64.7,2,11.8,03-23-2020
03-25-2020,14,82.3,3,17.6,03-24-2020
03-26-2020,18,105.9,4,23.6,03-25-2020
03-27-2020,21,123.4,3,17.5,03-26-2020
03-28-2020,24,141,3,17.6,03-27-2020
