Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,2,19,2,19,03-04-2020
03-06-2020,2,19,0,0,03-05-2020
03-07-2020,2,19,0,0,03-06-2020
03-08-2020,2,19,0,0,03-07-2020
03-09-2020,2,19,0,0,03-08-2020
03-10-2020,2,19,0,0,03-09-2020
03-11-2020,2,19,0,0,03-10-2020
03-12-2020,2,19,0,0,03-11-2020
03-13-2020,2,19,0,0,03-12-2020
03-14-2020,2,19,0,0,03-13-2020
03-15-2020,3,28.5,1,9.5,03-14-2020
03-16-2020,3,28.5,0,0,03-15-2020
03-17-2020,4,38,1,9.5,03-16-2020
03-18-2020,5,47.5,1,9.5,03-17-2020
03-19-2020,5,47.5,0,0,03-18-2020
03-20-2020,5,47.5,0,0,03-19-2020
03-21-2020,5,47.5,0,0,03-20-2020
03-22-2020,5,47.5,0,0,03-21-2020
03-23-2020,5,47.5,0,0,03-22-2020
03-24-2020,7,66.6,2,19.1,03-23-2020
03-25-2020,8,76.1,1,9.5,03-24-2020
03-26-2020,10,95.1,2,19,03-25-2020
03-27-2020,10,94.8,0,-0.3,03-26-2020
03-28-2020,11,104.2,1,9.4,03-27-2020
03-29-2020,12,113.7,1,9.5,03-28-2020
03-30-2020,12,113.7,0,0,03-29-2020
