"Gemeentecode","Gemeentenaam","Inwonertal","02-27-2020","02-28-2020","02-29-2020","03-01-2020","03-02-2020","03-03-2020","03-04-2020","03-05-2020","03-06-2020","03-07-2020","03-08-2020","03-09-2020","03-10-2020","03-11-2020","03-12-2020","03-13-2020","03-14-2020","03-15-2020","03-16-2020","03-17-2020","03-18-2020","03-19-2020","03-20-2020","03-21-2020","03-22-2020","03-23-2020","03-24-2020","03-25-2020","03-26-2020","03-27-2020","03-28-2020"
3,"Appingedam",11721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10,"Delfzijl",24716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,7
14,"Groningen",231299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,7,7,11,23,28,39,46,53,53,58,76,80,85
24,"Loppersum",9614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
34,"Almere",207904,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,3,3,4,5,5,11,14,18,21,28,32,39,48
37,"Stadskanaal",31789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
47,"Veendam",27491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
50,"Zeewolde",22309,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,5,6,7,7
59,"Achtkarspelen",27852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
60,"Ameland",3673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"Harlingen",15758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3
74,"Heerenveen",50257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,4,5,7
80,"Leeuwarden",123107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,5,5,8,8,10,10,12,15,19,20
85,"Ooststellingwerf",25497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
86,"Opsterland",29723,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,6,6
88,"Schiermonnikoog",936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"Smallingerland",55938,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,4,5,5,7
93,"Terschelling",4890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"Vlieland",1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"Weststellingwerf",25840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2
