"Date","Aantal","Bevolking"
"02-27-2020",1,17282163
"02-28-2020",2,17282163
"02-29-2020",7,17282163
"03-01-2020",10,17282163
"03-02-2020",21,17282163
"03-03-2020",28,17282163
"03-04-2020",41,17282163
"03-05-2020",99,17282163
"03-06-2020",138,17282163
"03-07-2020",198,17282163
"03-08-2020",269,17282163
"03-09-2020",334,17282163
"03-10-2020",386,17282163
"03-11-2020",512,17282163
"03-12-2020",613,17282163
"03-13-2020",803,17282163
"03-14-2020",958,17282163
"03-15-2020",1110,17282163
"03-16-2020",1412,17282163
"03-17-2020",1704,17282163
"03-18-2020",2050,17282163
"03-19-2020",2459,17282163
"03-20-2020",2994,17282163
"03-21-2020",3631,17282163
"03-22-2020",4204,17282163
"03-23-2020",4749,17282163
"03-24-2020",5560,17282163
"03-25-2020",6412,17282163
"03-26-2020",7431,17282163
"03-27-2020",8603,17282163
"03-28-2020",9762,17282163
"03-29-2020",10866,17282163
"03-30-2020",11750,17282163
"03-31-2020",11750,17282163
