Gemnr;Gemeente;Aantal;BevAant;GemiddeldOverBev
518;'s-Gravenhage;10;537833;1.9
796;'s-Hertogenbosch;14;154205;9.1
1680;Aa en Hunze;0;25386;0
358;Aalsmeer;3;31728;9.5
197;Aalten;0;27011;0
59;Achtkarspelen;0;27852;0
482;Alblasserdam;0;20069;0
613;Albrandswaard;1;25271;4
361;Alkmaar;1;108558;0.9
141;Almelo;1;72849;1.4
34;Almere;2;207904;1
484;Alphen aan den Rijn;6;110986;5.4
1723;Alphen-Chaam;1;10149;9.9
1959;Altena;10;55386;18.1
60;Ameland;0;3673;0
307;Amersfoort;10;156286;6.4
362;Amstelveen;3;90838;3.3
363;Amsterdam;31;862965;3.6
200;Apeldoorn;3;162445;1.8
3;Appingedam;0;11721;0
202;Arnhem;7;159265;4.4
106;Assen;0;67963;0
743;Asten;1;16710;6
744;Baarle-Nassau;0;6847;0
308;Baarn;0;24767;0
489;Barendrecht;3;48673;6.2
203;Barneveld;2;57971;3.5
888;Beek;3;15929;18.8
1954;Beekdaelen;12;35727;33.6
370;Beemster;0;9748;0
889;Beesel;0;13519;0
1945;Berg en Dal;6;34798;17.2
1724;Bergeijk;1;18491;5.4
893;Bergen (L);0;13140;0
373;Bergen (NH);1;29974;3.3
748;Bergen op Zoom;4;66811;6
1859;Berkelland;0;43904;0
1721;Bernheze;16;30806;51.9
753;Best;3;29821;10.1
209;Beuningen;4;25882;15.5
375;Beverwijk;5;41176;12.1
1728;Bladel;1;20175;5
376;Blaricum;1;11202;8.9
377;Bloemendaal;1;23410;4.3
1901;Bodegraven-Reeuwijk;1;34462;2.9
755;Boekel;12;10588;113.3
1681;Borger-Odoorn;0;25372;0
147;Borne;3;23210;12.9
654;Borsele;1;22800;4.4
756;Boxmeer;1;29065;3.4
757;Boxtel;2;30747;6.5
758;Breda;71;183873;38.6
501;Brielle;0;17182;0
1876;Bronckhorst;2;36212;5.5
213;Brummen;0;20698;0
899;Brunssum;0;28103;0
312;Bunnik;0;15192;0
313;Bunschoten;0;21576;0
214;Buren;2;26568;7.5
502;Capelle aan den IJssel;0;66818;0
383;Castricum;5;35772;14
109;Coevorden;11;35483;31
1706;Cranendonck;2;20440;9.8
1684;Cuijk;2;24931;8
216;Culemborg;2;28555;7
148;Dalfsen;1;28499;3.5
1891;Dantumadiel;0;18923;0
310;De Bilt;12;42824;28
1940;De Fryske Marren;3;51430;5.8
736;De Ronde Venen;0;44059;0
1690;De Wolden;1;24110;4.1
503;Delft;2;103163;1.9
10;Delfzijl;0;24716;0
400;Den Helder;1;55604;1.8
762;Deurne;4;32362;12.4
150;Deventer;1;99957;1
384;Diemen;2;29196;6.9
1774;Dinkelland;4;26350;15.2
221;Doesburg;1;11148;9
222;Doetinchem;0;57555;0
766;Dongen;5;26051;19.2
505;Dordrecht;1;118654;0.8
498;Drechterland;0;19597;0
1719;Drimmelen;5;27150;18.4
303;Dronten;6;40815;14.7
225;Druten;5;18797;26.6
226;Duiven;1;25332;3.9
1711;Echt-Susteren;0;31638;0
385;Edam-Volendam;0;36099;0
228;Ede;1;115710;0.9
317;Eemnes;0;9113;0
770;Eersel;2;19110;10.5
1903;Eijsden-Margraten;3;25658;11.7
772;Eindhoven;21;231642;9.1
230;Elburg;1;23086;4.3
114;Emmen;1;107113;0.9
388;Enkhuizen;0;18507;0
153;Enschede;3;158986;1.9
232;Epe;0;33145;0
233;Ermelo;7;26858;26.1
