GemeentecodeGM,Gemeentenaam,Grote gemeente,Inwonertal,Provincienaam,COVID 27-02,COVID 28-02,COVID 29-02,COVID 01-03,COVID 02-03,COVID 03-03,COVID 04-03,COVID 05-03,COVID 06-03,COVID 07-03,COVID 08-03,COVID 09-03,COVID 10-03,COVID 11-03,COVID 12-03,COVID 13-03,COVID 14-03,COVID 15-03,COVID 16-03,COVID 17-03,COVID 18-03,COVID 19-03,COVID 20-03,Aantal per 100.000 inwoners,Toename in 24 uur
GM0755,Boekel,Nee,10588,Noord-Brabant,,,,,,,,,,,1,1,2,7,8,11,12,12,14,14,19,20,25,236.10,5
GM0856,Uden,Nee,41782,Noord-Brabant,,,,,,,1,1,2,6,7,12,13,18,21,25,28,33,43,49,53,60,71,169.90,11
GM1685,Landerd,Nee,15529,Noord-Brabant,,,,,,,,,,,1,2,1,2,2,4,5,5,10,14,16,18,20,128.80,2
GM0277,Rozendaal,Nee,1654,Gelderland,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,120.90,0
GM1721,Bernheze,Nee,30806,Noord-Brabant,,,,,,,,,,1,1,2,2,2,4,13,15,16,19,20,26,30,37,120.10,7
GM1652,Gemert-Bakel,Nee,30447,Noord-Brabant,,,,,,,,1,1,1,1,1,2,4,7,11,13,16,20,25,26,31,36,118.20,5
GM1894,Peel en Maas,Nee,43311,Limburg,,,,,,,,,,,,1,1,3,4,8,10,14,19,31,36,41,49,113.10,8
GM1948,Meierijstad,Nee,80815,Noord-Brabant,,,,,,,,,,1,4,10,11,13,18,25,30,34,42,49,60,72,81,100.20,9
GM1702,Sint Anthonis,Nee,11606,Noord-Brabant,,,,,,,,,,,,,,,,,2,2,3,4,5,8,10,86.20,2
GM0758,Breda,Ja,183873,Noord-Brabant,,,,,,,,,2,2,16,19,27,32,42,53,64,71,86,96,105,113,121,65.80,8
GM0788,Haaren,Nee,14195,Noord-Brabant,,,,,,,,,,,,2,2,6,6,7,7,7,7,7,9,9,9,63.40,0
